,R,G,B,T
0,119.42874334919154,112.69446468045905,176.4452274357036,26.0
1,119.27832095801284,112.89515008282513,176.12638422890524,26.0
2,119.14171575643655,113.0770207313088,175.83895055627877,26.0
3,119.01834878673436,113.2407985870935,175.5815653137024,26.0
4,118.907641091178,113.3872056113626,175.35286739705438,25.0
5,118.80901371203913,113.51696376529954,175.15149570221286,25.0
6,118.72188769158949,113.6307950100877,174.97608912505603,25.0
7,118.64568407210079,113.72942130691051,174.82528656146212,25.0
8,118.57982389584473,113.81356461695135,174.69772690730932,25.0
9,118.52372820509301,113.88394690139366,174.59204905847582,25.0
10,118.47681804211734,113.94129012142082,174.5068919108398,25.0
11,118.43851444918944,113.98631623821626,174.44089436027951,25.0
12,118.408238468581,114.01974721296337,174.39269530267313,25.0
13,118.38541114256374,114.04230500684557,174.36093363389884,25.0
14,118.36945351340935,114.05471158104625,174.34424824983483,25.0
15,118.35978662338957,114.05768889674884,174.34127804635935,25.0
16,118.35583151477607,114.05195891513674,174.35066191935053,25.0
17,118.35700922984057,114.03824359739336,174.37103876468663,25.0
18,118.36274081085479,114.01726490470209,174.40104747824583,25.0
19,118.37244730009041,113.98974479824635,174.4393269559063,25.0
20,118.38554973981917,113.95640523920956,174.48451609354626,25.0
21,118.40146917231276,113.9179681887751,174.53525378704393,25.0
22,118.41962663984289,113.8751556081264,174.59017893227747,25.0
23,118.43944318468125,113.82868945844687,174.6479304251251,25.0
24,118.46033984909087,113.77929170091154,174.70714716145218,25.0
25,118.4793882880094,113.73219074863151,174.7971175861863,25.0
26,118.57140712864258,113.73496538094307,174.809805718965,25.0
27,118.61275794793009,113.7018757069332,174.72953342092052,25.0
28,118.64891173174465,113.68848879188349,174.7438767469034,25.0
29,118.65419327698686,113.64732086687268,174.73473392507807,25.0
30,118.64748736373107,113.59447419628953,174.74324796899353,25.0
31,118.61304900209801,113.52217577337429,174.7473031765769,25.0
32,118.57494045686748,113.51938821232937,174.79790970760538,25.0
33,118.53199088933363,113.5106742460494,174.8030610195092,25.0
34,118.51692765363745,113.47168906963051,174.80666056807564,25.0
35,118.4554240924021,113.4015037062811,174.7493105989312,25.0
36,118.43611045678236,113.38476131192384,174.69037544094368,25.0
37,118.40841931728478,113.36566714943615,174.6311549048175,25.0
38,118.46404219685425,113.40110354621709,174.61240571877588,25.0
39,118.49139466660496,113.38137745246988,174.6914078476021,25.0
40,118.45201311414161,113.32674724735396,174.68888642926333,25.0
41,118.36550002190705,113.28363496698083,174.65479462075112,25.0
42,118.31199209391315,113.27799583189417,174.61781781269138,25.0
43,118.28197788176654,113.24167397454603,174.6058817537919,25.0
44,118.22047053651164,113.19654197375516,174.57890642465316,25.0
45,118.10328796608397,113.10682570899867,174.54345394578928,25.0
46,117.96895243518131,113.04117738505127,174.40926252296322,25.0
47,117.82930161819573,113.01020077060726,174.29166087237394,25.0
48,117.70554589053036,112.99289171932715,174.24510765691912,25.0
49,117.52660938290921,112.98762846351262,174.16093340408165,25.0
50,117.32703041814757,112.89633110926755,174.10600962211817,25.0
51,117.16131559005719,112.82572603508657,174.0048678257621,25.0
52,117.023263205983,112.77933773981576,173.9628535417191,25.0
53,116.80620743174266,112.72563619615653,173.9273420952177,25.0
54,116.54096973698,112.62652704895157,173.8309590187405,25.0
55,116.37886990886909,112.5370381407011,173.80654420947553,25.0
56,116.27568221929367,112.45693265485035,173.76324178212167,25.0
57,116.19514062519347,112.42944585240676,173.86775324785845,25.0
58,116.01361301020737,112.36547321843594,173.8609710235424,25.0
59,115.81619913527993,112.25146733239356,173.8809632599957,24.0
60,115.63324526027056,112.13777993466067,173.91485546147834,24.0
61,115.46920076146235,112.03267406252456,173.9697805047817,24.0
62,115.38598071221335,111.94694646967498,174.03133073559113,25.0
63,115.26302530467603,111.91294421629135,174.07908096255346,25.0
64,115.18199967141248,111.9246853981857,174.17035119799198,25.0
65,115.0464687056771,111.85230088882642,174.2442477384837,25.0
66,114.89168843265378,111.770763782258,174.25738680025492,24.0
67,114.73984203609677,111.71530393086279,174.2239726465714,24.0
68,114.57474148050812,111.61473919748323,174.27389868475657,24.0
69,114.37040411120265,111.51919144331458,174.33966336730418,24.0
70,114.18093793860281,111.41784625590947,174.39048716411995,24.0
71,114.02264924881642,111.32279389296272,174.46474160979105,24.0
72,113.86928041507333,111.23491193166757,174.50268491950266,24.0
73,113.79714344365752,111.10709847373909,174.5131817896455,24.0
74,113.6910556184565,110.94820528683469,174.4857508014898,24.0
75,113.56895571466522,110.77970037501971,174.61163567080393,24.0
76,113.43325951341087,110.64007446949597,174.7286053901338,24.0
77,113.30146211359992,110.48209228529052,174.82088595878358,24.0
78,113.16312372071715,110.32111031961225,174.9239604431084,24.0
79,113.06115574676636,110.1576652725627,175.0797031184291,24.0
