,R,G,B,T
0,116.50733090957176,111.06943153329703,174.7166171311829,24.5
1,116.40886286138384,111.09637433320903,174.56777126805133,24.5
2,116.32495102908713,111.11593160753418,174.44595731606574,24.5
3,116.2548101405699,111.12848668715226,174.34978646486778,24.5
4,116.19765492372038,111.13442290294307,174.2778699040991,24.5
5,116.15270010642683,111.13412358578638,174.22881882340133,24.5
6,116.1191604165775,111.12797206656197,174.20124441241612,24.5
7,116.09625058206065,111.11635167614965,174.1937578607851,24.5
8,116.08318533076451,111.09964574542917,174.20497035814992,24.5
9,116.07917939057735,111.07823760528035,174.23349309415227,24.5
10,116.08344748938741,111.05251058658295,174.27793725843372,24.5
11,116.09520435508296,111.02284802021677,174.33691404063597,24.5
12,116.11366471555222,110.98963323706158,174.40903463040064,25.0
13,116.13804329868346,110.95324956799718,174.49291021736937,25.0
14,116.16755483236493,110.91408034390334,174.58715199118382,25.0
15,116.20141404448488,110.87250889565986,174.69037114148563,25.0
16,116.23883566293156,110.82891855414651,174.80117885791645,25.0
17,116.27903441559322,110.7836926502431,174.9181863301179,25.0
18,116.32122503035812,110.73721451482938,175.04000474773164,25.0
19,116.3646222351145,110.68986747878515,175.16524530039933,25.0
20,116.40844075775061,110.64203487299021,175.2925191777626,25.0
21,116.45189532615471,110.59410002832432,175.4204375694631,25.0
22,116.49420066821504,110.5464462756673,175.54761166514245,25.0
23,116.53457151181986,110.49945694589888,175.67265265444235,25.0
24,116.57222258484884,110.4535153698908,175.7941717269915,25.0
25,116.56652353611982,110.40340328407933,175.87613958111504,25.0
26,116.57102084331692,110.41280972593108,176.00258416998284,25.0
27,116.56388008315156,110.35876856652014,176.06984984693918,25.0
28,116.55455972774382,110.31668995414533,176.06764880891959,25.0
29,116.51087669109339,110.26606450301927,176.062778460465,25.0
30,116.53478507241283,110.23452911502638,176.0363514988214,25.0
31,116.53634692646887,110.19117150405452,175.98772621734554,25.0
32,116.53579445961923,110.16242840713093,175.94002644397682,25.0
33,116.42369761142369,110.14926380322792,175.87030020832884,25.0
34,116.36332610269413,110.19882121484505,175.8497772631382,25.0
35,116.29333593168484,110.25111636458342,175.8160975974184,25.0
36,116.2071681312313,110.29232370646422,175.78285656262784,25.0
37,116.13247726197582,110.27482009351392,175.7813145746743,25.0
38,116.07410213887692,110.2697577060688,175.80041851254575,25.0
39,116.05657077645019,110.31188141134285,175.8166138007477,25.0
40,116.07274399120496,110.34239479873094,175.78469843412825,25.0
41,116.11572887625434,110.40477309914486,175.81408103035034,25.0
42,116.13211399610209,110.45353302864856,175.79488249199093,25.0
43,116.11927923256707,110.47811307343243,175.7462373444126,25.0
44,116.10306691627727,110.52168952686645,175.75645703512578,25.0
45,116.05683061245709,110.50966485884321,175.73198325822335,25.0
46,115.96225692797935,110.45590844690098,175.7011021902721,24.5
47,115.89313676612421,110.37566736701748,175.66749158290864,24.5
48,115.80945885051354,110.31145602448206,175.6320334280155,24.5
