,R,G,B,T
0,118.10013532478517,116.48582099506469,165.5514832713713,24.0
1,118.15841481891901,116.60659004342479,165.88296908507,24.0
2,118.20738644127105,116.71560857597572,166.19527157168264,24.0
3,118.24761216962571,116.81336957916756,166.48880561825956,24.0
4,118.27965398176738,116.90036603945038,166.76398611185112,24.0
5,118.3040738554805,116.97709094327425,167.0212279395077,24.0
6,118.32143376854947,117.04403727708925,167.26094598827964,24.0
7,118.33229569875868,117.10169802734544,167.48355514521728,24.0
8,118.33722162389259,117.15056618049287,167.689470297371,24.0
9,118.33677352173557,117.19113472298164,167.87910633179115,24.0
10,118.33151337007203,117.22389664126183,168.0528781355281,24.0
11,118.32200314668641,117.24934492178348,168.21120059563214,24.0
12,118.30880482936311,117.26797255099667,168.35448859915368,24.0
13,118.29248039588654,117.28027251535148,168.48315703314307,24.0
14,118.27359182404112,117.28673780129797,168.59762078465067,24.0
15,118.25270109161124,117.28786139528623,168.69829474072682,24.0
16,118.23037017638133,117.2841362837663,168.7855937884219,24.0
17,118.20716105613579,117.27605545318828,168.85993281478622,24.0
18,118.18363570865905,117.26411189000221,168.92172670687015,24.0
19,118.1603561117355,117.24879858065819,168.97139035172407,24.0
20,118.13788424314957,117.23060851160626,169.00933863639835,24.0
21,118.11678208068565,117.21003466929653,169.0359864479433,24.0
22,118.09761160212818,117.18757004017904,169.05174867340926,24.0
23,118.08093478526155,117.16370761070387,169.05704019984665,24.0
24,118.06731360786158,117.13894036731244,169.0522759142934,24.0
25,118.09316098384899,117.1316126135159,169.02936935214134,24.0
26,118.15949295398929,117.09506939102597,169.0283744703431,24.0
27,118.14824558664203,117.08872800498375,168.971594626806,24.0
28,118.12309194756622,117.05786901047975,168.84982235603795,24.0
29,118.19313036482437,117.06998165695677,168.769372839746,24.0
30,118.27641064305072,117.07621109908823,168.7287747250076,24.0
31,118.34936307067267,117.06329687114328,168.65601969707052,24.0
32,118.45436519760696,117.05845364149526,168.6207403370996,24.0
33,118.49972140155424,117.08563677637254,168.5334496288541,24.0
34,118.52997053824598,117.07219057835037,168.4636417214516,24.0
35,118.55659016955002,117.08449936317243,168.34736290101876,24.0
36,118.57185269694081,117.09059951797038,168.2433506105234,24.0
37,118.56216245362519,117.07966811625286,168.12168145428723,24.0
38,118.60997227889496,117.1010304831066,168.01711007490806,24.0
39,118.64118602522876,117.10502325436798,167.9749179419477,24.0
40,118.7119273241124,117.14890495204313,167.95405443500042,24.0
41,118.7639295276731,117.18098050882216,167.9188926949695,24.0
42,118.83778002926061,117.23086113877312,167.9586554873993,24.0
43,118.93330728665691,117.23374803033037,168.00007158102352,24.0
44,118.92398976926381,117.27810903714443,167.98563207787788,24.0
45,118.8320639524438,117.33526002992926,167.97624424078876,24.0
46,118.85633307695727,117.35046926571184,167.9730741784376,24.0
47,118.8225124565105,117.41878563875434,167.99497576807263,24.0
48,118.76213779443134,117.4754708818035,167.9585643555959,24.0
49,118.78595914330185,117.48064458248945,167.9133323936228,24.0
50,118.79161972116577,117.5489628475417,167.89047691573424,24.0
51,118.8153978691468,117.57835648048741,167.89301725417064,24.0
52,118.8883616488273,117.61709317295791,167.8848879189062,24.0
53,118.92213213101542,117.68321544534994,167.87701053627464,24.0
54,118.92135388433458,117.72490524971927,167.8463010105416,24.0
55,118.87677435039335,117.77511761204796,167.76481404223182,24.0
56,118.83192804307609,117.76237744900088,167.6628034980614,24.0
57,118.71432891516648,117.72229963694619,167.53752470254008,24.0
58,118.59042750274968,117.67586561810619,167.42783165274332,24.0
59,118.48259398321105,117.59288049340225,167.30341876702167,24.0
60,118.36716530582994,117.55223980844428,167.2350049554766,24.0
61,118.27336040798426,117.52311042619492,167.24065323527705,24.0
62,118.23287770584116,117.46439158798984,167.22107976365044,24.0
63,118.19464397263157,117.39313850046639,167.19651611628447,24.0
64,118.0901009733988,117.31557272238213,167.15208983513372,24.0
65,118.0304862685728,117.280444092522,167.14661593556602,24.0
66,117.98626022512155,117.26083278070017,167.14111838587633,24.0
67,117.92636834086586,117.22392976102105,167.13114623310662,24.0
