,R,G,B,T
0,113.40635969487508,114.22951676397065,167.65390167462996,24.0
1,113.60463267928253,114.27457929040573,167.6932666513899,24.0
2,113.77367998905933,114.30104106866737,167.7284383936032,24.0
3,113.9145269867661,114.30972941044884,167.75972185849287,24.0
4,114.02819903496345,114.30147162744338,167.78742200328193,24.6
5,114.115721496212,114.27709503134423,167.8118437851934,24.6
6,114.17811973307238,114.23742693384465,167.83329216145034,24.6
7,114.21641910810517,114.18329464663789,167.85207208927574,24.6
8,114.231644983871,114.11552548141721,167.86848852589262,24.6
9,114.2248227229305,114.03494674987583,167.88284642852403,24.6
10,114.19697768784427,113.94238576370702,167.895450754393,25.2
11,114.14913524117293,113.83866983460402,167.90660646072254,25.2
12,114.08232074547709,113.72462627426009,167.91661850473568,25.2
13,113.99755956331737,113.60108239436848,167.92579184365545,24.6
14,113.89587705725438,113.46886550662241,167.93443143470486,24.6
15,113.77829858984875,113.32880292271517,167.94284223510692,24.6
16,113.64584952366107,113.18172195433998,167.9513292020847,24.6
17,113.49955522125197,113.0284499131901,167.9601972928612,24.6
18,113.34044104518206,112.86981411095879,167.96975146465945,25.2
19,113.16953235801198,112.70664185933927,167.9802966747025,25.2
20,112.9878545223023,112.53976047002482,167.9921378802133,24.6
21,112.79643290061368,112.36999725470866,168.00558003841496,24.6
22,112.5962928555067,112.19817952508407,168.02092810653045,24.6
23,112.388459749542,112.0251345928443,168.03848704178282,24.6
24,112.17395894527199,111.85168976967428,168.05856180138272,25.2
25,111.91134199936047,111.68392684101975,168.11411215391144,24.6
26,111.69353225923118,111.54529234860973,168.1842234135453,24.6
27,111.58582329700168,111.37741337668999,168.22184129757835,24.6
28,111.42923583932358,111.31218192555951,168.303250693488,24.6
29,111.28686715031922,111.2683472127934,168.39447993538175,24.6
30,111.08392703022076,111.16505956203572,168.41989750981895,24.6
31,110.90643065736116,111.05906854466737,168.49680486850713,24.6
32,110.65772723588228,111.02658967447469,168.55848627865984,24.6
33,110.38025202199846,110.9858086654596,168.61921632323873,24.6
34,110.15201131673292,110.89412281854399,168.62169422535305,24.6
35,109.98186887047153,110.78885234155891,168.69459399203674,24.6
36,109.7727175976693,110.67740981340499,168.7726239431819,24.6
37,109.56138736029462,110.58467673908783,168.85595183698715,24.6
38,109.3036704043239,110.43293566440735,168.81159745220722,24.6
39,108.98519344695309,110.21863623305092,168.73430979955754,24.0
40,108.70660762334079,110.01317690195836,168.7216680210179,24.0
41,108.43193163789539,109.74700707705443,168.69213910937447,24.6
42,108.12638845923702,109.55358313537373,168.73626266896378,24.6
43,107.79199055507934,109.33571127425736,168.77285224569277,24.0
44,107.43679347230616,109.08367854627258,168.83043587804252,24.0
45,107.0997041842663,108.78704515690426,168.96155057766543,24.0
46,106.76536713975585,108.42150256476891,169.11200067102035,24.0
47,106.4723692471394,108.04345977949093,169.27398887055543,24.0
48,106.22497951110316,107.66669820015473,169.47064941026386,24.0
49,106.00710796532175,107.27080903282511,169.65107650624012,24.0
50,105.74204748880649,106.82786337544478,169.85361362825995,24.6
51,105.52560251838337,106.34290658737102,170.05943307187658,24.6
52,105.36104244691585,105.79941259402902,170.22693553385432,24.6
53,105.1532625658539,105.26878773573272,170.45284023773738,24.6
54,104.954463109113,104.74512263533485,170.59400182451552,24.6
55,104.75872460882715,104.22561964107177,170.7896674824256,24.6
56,104.56711478917036,103.70709639252888,170.9391703095612,24.6
57,104.39639244191787,103.21490140578717,171.03239562175068,24.6
58,104.17740902506807,102.70554998988595,171.05664235748202,25.2
59,103.95541226734215,102.16571577408776,170.98427929089996,24.6
60,103.75631387305931,101.64447213084642,170.884463793385,25.2
61,103.56518367787645,101.14788452811429,170.68698811280547,25.2
62,103.3917541799938,100.62407468896984,170.43003269076274,25.2
63,103.2550473301932,100.14224823104234,170.1608444796233,25.2
64,103.12551750407836,99.64176403421155,169.8441188926194,25.8
65,103.00326623950633,99.15637429123797,169.48004450005706,25.8
66,102.94754749810909,98.72647687916046,169.1050308224032,25.8
67,102.85112342808705,98.29836457829057,168.7018359747242,25.8
68,102.76630652260148,97.89803108003711,168.2173648024886,25.8
69,102.65261281816936,97.54450432654612,167.66050975156364,25.8
70,102.56408883489598,97.23820938934355,167.1051913278979,25.8
71,102.49927173390273,96.97997906805821,166.4991241571368,26.4
72,102.50207253901593,96.76319385121343,165.91509259336874,26.4
73,102.50489857092595,96.56424271835682,165.26935565399097,26.4
74,102.58573973323799,96.43586922553969,164.59235640669556,26.4
75,102.65004946028088,96.36154761352216,163.82956713022855,26.4
76,102.64996495051166,96.35825362453177,163.0560290309857,26.4
77,102.66417961983093,96.27958701210271,162.26087282823676,26.4
78,102.63218068944711,96.17965357931274,161.4036085671344,26.4
79,102.63533845373486,96.14242103460062,160.57823192317508,26.4
80,102.5927994523187,96.15995208169241,159.69485887340363,26.4
81,102.6118532519315,96.10744786487567,158.8396137020491,26.4
82,102.61742963536118,96.09318179595796,157.98122085712555,26.4
83,102.60489727805262,96.11337395477577,157.14662161159603,26.4
84,102.54439585131959,96.1423040453305,156.32306287368013,26.4
85,102.48354124943155,96.19482875891966,155.43799395249468,26.4
86,102.40587645616989,96.21825026306112,154.60114857604628,26.4
87,102.3594109038339,96.2342443675587,153.88401854042297,26.4
88,102.39357839273649,96.34013353173499,153.31573953457323,26.4
89,102.37292206085777,96.4329567918507,152.76162978980855,26.4
90,102.32108446214613,96.54363084870748,152.2866035302898,26.4
91,102.2977253943267,96.6033423613661,151.82042746175367,26.4
92,102.28970674163318,96.66278583930891,151.3922479945373,26.4
93,102.31169599438707,96.73182180672976,151.0278270488541,26.4
94,102.37726485392459,96.81907877413452,150.6924080900965,26.4
95,102.43725165400316,96.91989104545753,150.3738251801792,26.4
96,102.50219520431533,97.03071709376495,150.08754329153723,26.4
97,102.55229593806823,97.13427656325803,149.8125576471613,26.4
98,102.59653522558781,97.22954650732706,149.58035759614012,26.4
99,102.65605753727056,97.33971539757817,149.3859293126124,26.4
100,102.74965809806224,97.45395683883554,149.22601412510323,26.4
101,102.76404840895411,97.56840829317612,149.17683259275822,26.4
102,102.81822957708725,97.66123092262191,149.06964487921732,26.4
103,102.8304793942718,97.77306194344631,148.97890251450153,26.4
104,102.82485571059819,97.90367715249288,148.78430048141092,26.4
105,102.80899656946339,98.01918340227411,148.58883316919054,25.8
106,102.78367895620849,98.11882704223598,148.4167088427066,25.8
107,102.74799376014425,98.2057005623296,148.21299835930128,25.8
108,102.71729842448438,98.29326435065028,148.02031104008677,25.8
109,102.7206526424521,98.39098255534745,147.8301952774697,25.8
110,102.72038523840615,98.50588651535541,147.69976107069007,25.8
111,102.68241701723274,98.60425557140964,147.57645690268714,25.8
112,102.69755120329485,98.6485875674074,147.43522625755287,25.8
113,102.7361277056058,98.70633958862567,147.29111282021572,25.8
114,102.79017674839078,98.76922242497534,147.1505787500077,25.8
115,102.82067657637555,98.79768897313912,147.00310604934353,25.8
116,102.86474684435666,98.84545685885921,146.82760038608532,26.4
117,102.94677965748188,98.91673170449485,146.69628702543767,26.4
118,103.01083932390165,98.96280529547576,146.553763822303,26.4
119,103.08151314110387,99.0174991982536,146.3755822265757,26.4
120,103.12743064127964,99.03721677795684,146.17930103482396,26.4
121,103.18088653900519,99.04902575686758,145.9754518040363,26.4
122,103.23439572833888,99.02912812090221,145.7534982471999,26.4
123,103.26563533213945,98.98328724712167,145.52370798594174,26.4
124,103.3174596867828,98.94719306161451,145.32537995496574,26.4
125,103.33501249198683,98.89693939040609,145.13443769941895,26.4
126,103.31645534493572,98.85942588224476,144.95415912620876,26.4
127,103.30166108996029,98.81346455050954,144.78570845200687,26.4
128,103.32622726000592,98.80499528415841,144.64092208986548,26.4
129,103.34965538618154,98.78539973908458,144.509576249717,26.4
130,103.3987956096468,98.78678847424767,144.38620428469775,26.4
131,103.4536143850687,98.75600263745432,144.2449257086495,26.4
132,103.5330201426436,98.74791965642899,144.14530950282912,26.4
133,103.59919192262431,98.73397302182558,144.02272177585496,26.4
134,103.69919599044528,98.69976926940264,143.99110660811726,26.4
135,103.80851568364959,98.70306798841742,143.98549333049735,26.4
136,103.88745127679937,98.70992368577909,143.97399590252695,26.4
137,103.91666043879357,98.70197283010192,143.90889626140964,26.4
138,103.95539870793888,98.70679335563285,143.8613973564103,26.4
139,103.99212198669088,98.72197011191456,143.79401752819848,26.4
140,104.01153621416279,98.7090287651631,143.73630902320468,27.0
141,104.02588553150989,98.69830485384915,143.68518124348756,27.0
142,104.06410444397639,98.7008363629067,143.6549885517537,27.0
143,104.09466197825881,98.71050201009542,143.62850546048725,27.0
144,104.11663830227934,98.71541398276472,143.6186994892414,27.0
145,104.12777214904109,98.72547821334268,143.61452098568864,27.0
146,104.13389973798053,98.73299422211026,143.6211534258988,27.0
147,104.12559633781824,98.73306075778677,143.63815250291339,27.0
148,104.10603768693471,98.73241369044922,143.665387983394,27.0
149,104.06414922154067,98.71297139816585,143.69458327064993,27.0
150,104.07912668612778,98.76112304653208,143.68295119465168,27.0
151,104.08315824358922,98.83333159898376,143.62424875386452,27.0
152,104.09885750989937,98.88684741035163,143.5718375608609,27.0
153,104.09989685392696,98.92627657839398,143.52423112664025,27.0
154,104.09277848254375,98.97278186293491,143.51351478336534,27.0
155,104.07700637385788,99.00099362045114,143.47281134675038,26.4
156,104.10024813707224,99.04618143552987,143.49583489817252,26.4
