,R,G,B,T
0,113.78273611438877,114.26167618044373,168.67136917445038,23.857142857142858
1,113.66622449549621,114.33009733808056,168.88490832230326,23.857142857142858
2,113.56183028221291,114.37858768530147,169.08517791186304,23.857142857142858
3,113.469018478037,114.40817551438194,169.27273185413964,23.857142857142858
4,113.38725408646663,114.41988911759746,169.448124060143,23.857142857142858
5,113.31600211099988,114.41475678722357,169.61190844088296,23.857142857142858
6,113.2547275551349,114.39380681553573,169.7646389073695,23.857142857142858
7,113.20289542236983,114.35806749480948,169.90686937061253,23.857142857142858
8,113.15997071620276,114.30856711732031,170.03915374162193,23.857142857142858
9,113.12541844013185,114.24633397534372,170.16204593140765,23.857142857142858
10,113.0987035976552,114.17239636115522,170.2760998509796,23.857142857142858
11,113.07929119227094,114.0877825670303,170.38186941134768,23.857142857142858
12,113.0666462274772,113.9935208852445,170.47990852352183,23.928571428571427
13,113.06023370677208,113.89063960807327,170.57077109851195,23.928571428571427
14,113.05951863365375,113.78016702779215,170.65501104732795,23.928571428571427
15,113.0639660116203,113.66313143667664,170.73318228097975,23.928571428571427
16,113.07304084416987,113.54056112700222,170.8058387104773,23.928571428571427
17,113.08620813480057,113.41348439104443,170.87353424683047,23.928571428571427
18,113.10293288701054,113.28292952107874,170.93682280104917,23.928571428571427
19,113.1226801042979,113.14992480938069,170.99625828414338,23.928571428571427
20,113.14491479016077,113.01549854822575,171.05239460712295,23.928571428571427
21,113.16910194809728,112.88067902988944,171.10578568099783,24.0
22,113.19470658160554,112.74649454664724,171.15698541677793,24.0
23,113.22119369418371,112.61397339077469,171.20654772547314,24.0
24,113.24802828932155,112.48414385453907,171.25502651808085,24.0
25,113.25190344064293,112.37534067999894,171.35838543453943,24.0
26,113.28890295281977,112.24758335169332,171.5193197846388,24.0
27,113.43456846882914,112.17539939536849,171.66029437778576,24.0
28,113.46597803817305,112.13079305795566,171.74954173945696,24.0
29,113.47626174188306,112.10054896662331,171.82881284900404,24.0
30,113.53068193391573,111.9735405588473,171.89654585237082,24.0
31,113.53262471260325,111.92798348653056,171.97625243949742,24.0
32,113.47262782180594,111.92893390609953,171.99848544617527,24.0
33,113.39092138036415,111.92379268491443,171.99774661636434,24.0
34,113.28820196320405,111.90126736272882,171.96834257736504,24.0
35,113.18792418463792,111.87431505304215,171.9962144037946,24.0
36,113.11515559729757,111.86813921785384,172.02577894828846,24.0
37,113.0502694379481,111.87853675748433,172.04031431326192,24.0
38,112.95292175182874,111.85764266304598,172.00272228669556,23.928571428571427
39,112.87781653243603,111.84273015746058,172.02722822776386,23.928571428571427
40,112.84525851316843,111.8085172603238,172.00478426199788,23.928571428571427
41,112.8236006774573,111.7949089801323,171.93718432998412,24.0
42,112.84445535502573,111.84142246338217,172.0148330411628,23.928571428571427
43,112.80729849070399,111.86732344631275,172.04039787702627,23.928571428571427
44,112.69754142791038,111.88541484362818,172.03306066318092,23.928571428571427
45,112.64499464087406,111.90043992379424,172.07485547409186,23.928571428571427
46,112.62949655826827,111.91293286423281,172.0668456507772,23.928571428571427
47,112.64130837519363,111.92382611042017,172.02677414542168,23.928571428571427
48,112.56878038842761,111.89287503810785,171.97237003547198,24.0
49,112.51461530237744,111.88514964692698,171.93454970639473,24.0
50,112.495589882911,111.86199176281194,171.90748293011762,24.0
51,112.45598917265052,111.8909704149505,171.86252909357907,24.0
52,112.46330273637389,111.9005304249277,171.86635410664184,24.0
53,112.4473628694894,111.86797745101947,171.87429928628973,24.0
54,112.48004544606613,111.86653700092296,171.92510700102258,24.0
55,112.55406969721655,111.83706894892674,171.9619769105309,24.0
56,112.67055443137812,111.85474662677487,172.03811359057718,23.928571428571427
57,112.78011031046735,111.84356863311878,172.04671277493182,23.928571428571427
58,112.87662456628786,111.81035471713471,172.00827092064873,23.928571428571427
59,113.01725922834811,111.7551061401626,171.9714842595698,24.0
60,113.08136146498745,111.69840040034104,171.91526760427098,24.0
61,113.08959454545365,111.66571813909927,171.86041445733846,24.0
62,113.09566442809546,111.62752697610924,171.80846428404612,24.0
63,113.07845470732772,111.61193618502529,171.76677447967677,24.0
64,113.01848178198736,111.53572918528292,171.72370571552807,24.0
65,112.9383081837853,111.49217985065548,171.686551373886,24.0
66,112.92368704770283,111.4087687084208,171.64833435342928,24.0
67,112.8640795955809,111.33111778989736,171.6169474882025,24.0
68,112.76489445265062,111.22078177211753,171.6059448207841,24.0
69,112.69127635292847,111.15546707255764,171.64248236724475,24.0
70,112.59212715818359,111.05398912913442,171.65709940397278,24.0
71,112.48163221158399,110.93473670003041,171.7342233977783,24.0
72,112.40071221553198,110.87958682290066,171.83049579168465,24.0
73,112.29667280623006,110.81836422511452,171.87049035530993,24.0
74,112.22131563420443,110.71261475432543,171.8919725494484,24.0
75,112.06083284376756,110.64740758398683,171.82458830654713,24.0
76,111.85473685139111,110.51021070365867,171.78930327054695,23.928571428571427
77,111.60273628757223,110.37137818089386,171.73456679754958,23.928571428571427
78,111.36422417666013,110.27980616989878,171.7091460697628,23.928571428571427
79,111.17590456197419,110.25624654904492,171.73903225591573,23.928571428571427
80,110.89266313301495,110.17053566894822,171.6895681834467,23.928571428571427
81,110.60048290394934,110.107358625081,171.71129413150913,23.928571428571427
82,110.44263316042706,110.05976480425873,171.71692538322185,23.928571428571427
83,110.27840387533239,110.02229355098204,171.74709915485812,23.928571428571427
84,110.08221476138897,109.97841532199145,171.71266993793887,23.928571428571427
85,109.89972285209572,109.92692112305107,171.71093149630534,23.928571428571427
86,109.69871384329124,109.86400107717614,171.69796429208716,23.928571428571427
87,109.50102846496344,109.79962103043718,171.69033728541376,23.928571428571427
88,109.28456615111749,109.72316302406679,171.6626915541504,23.928571428571427
89,109.07926827152436,109.66036091346685,171.64787648706763,23.928571428571427
90,108.95011464001662,109.53382582346553,171.69766030918592,23.857142857142858
91,108.71413309215717,109.32371719372524,171.69269788292303,23.857142857142858
92,108.5729223131253,109.1037615991943,171.74435038001326,23.857142857142858
93,108.35251831228145,108.930156459739,171.74747282678555,23.928571428571427
94,108.05247142197297,108.68988698709575,171.71588603919423,23.928571428571427
95,107.73851006122696,108.42052250371376,171.66759564344568,23.928571428571427
96,107.48598509536987,108.17831498240739,171.7015919054651,23.928571428571427
97,107.28888340205268,107.92814083867584,171.70144716671848,23.928571428571427
98,107.0633403873685,107.73572313085197,171.65370955315456,23.928571428571427
99,106.8239857014437,107.55298147627053,171.64897826741725,23.928571428571427
100,106.64490004038656,107.35911291229651,171.61547392793517,23.928571428571427
101,106.4269455615107,107.16920022539354,171.57653857444,23.928571428571427
102,106.2491578191482,107.01056624382613,171.48996399188832,23.928571428571427
103,105.9427553527243,106.8910927649153,171.32722182646424,23.928571428571427
104,105.57573699297697,106.82188399393644,171.04565545681157,23.928571428571427
105,105.15728939329094,106.78320248508388,170.7163867911105,23.928571428571427
106,104.73397775184954,106.77246501436667,170.39451651423698,23.857142857142858
107,104.33016390164437,106.81394795900238,169.98799740541145,23.857142857142858
108,103.81937361232144,106.92976512905398,169.5738894454426,23.857142857142858
109,103.3483596748316,107.08873115833407,169.12908173512446,23.785714285714285
110,102.96273749845909,107.26328703269328,168.58010312082615,23.785714285714285
111,102.56633717315958,107.47552827276694,167.98632423811472,23.785714285714285
112,102.25930624416075,107.72213408609304,167.36528906281535,23.785714285714285
113,101.92962007497282,108.00671253528196,166.68221835620335,23.714285714285715
114,101.60084301647413,108.32345294302897,165.9208004714766,23.714285714285715
115,101.2737577300349,108.67317076554014,165.13620042184297,23.714285714285715
116,100.90581543885527,109.0543303215611,164.28809537998384,23.642857142857142
117,100.56050726042238,109.52414440952879,163.44484460449644,23.642857142857142
118,100.19211372491522,110.01929534618395,162.46892705071377,23.571428571428573
119,99.94093177065204,110.54070075625967,161.51165714511566,23.571428571428573
120,99.71276264642239,111.13901888571789,160.4394353485957,23.5
121,99.4475533318061,111.71198282306585,159.29574666744958,23.5
122,99.18718850817768,112.34171682856713,158.11892605740897,23.428571428571427
123,98.97054992208922,113.02302039806422,156.9217805325324,23.357142857142858
124,98.82903799817072,113.75802488055062,155.73059988375607,23.357142857142858
125,98.64607970847187,114.53309235434858,154.50951633607386,23.285714285714285
126,98.52123954387963,115.3664403507575,153.37875764962064,23.285714285714285
127,98.44686117156932,116.1700282949974,152.18131003385264,23.214285714285715
128,98.35276679623054,116.97772631510371,150.93803195035767,23.214285714285715
129,98.37294255763047,117.8080625473113,149.71515572342886,23.142857142857142
130,98.46976615704659,118.59286157330459,148.53734433094445,23.071428571428573
131,98.39971764906973,119.39718140998625,147.39718740134842,23.0
132,98.36935625313232,120.20002358704616,146.28196684504084,22.928571428571427
133,98.33556558950673,121.0347700940019,145.2089538731067,22.857142857142858
134,98.27448930714193,121.82577018198029,144.10686481053142,22.857142857142858
135,98.18345746493306,122.57321210595234,143.01149049059077,22.785714285714285
136,98.12147081053922,123.3123102668873,141.97693324767786,22.714285714285715
137,98.03463670731558,124.05343350893422,141.0456349600414,22.642857142857142
138,97.86593376514583,124.69204230154502,140.1517136405286,22.571428571428573
139,97.65530861674131,125.35771156373366,139.28295857349005,22.5
140,97.53525050681493,125.96466987109125,138.49955931938345,22.5
141,97.30468042220112,126.60117159550043,137.7415760630392,22.357142857142858
142,97.19689104955688,127.13686861662563,137.08985911148318,22.357142857142858
143,97.1805828714393,127.66511553398985,136.4376972222989,22.285714285714285
144,97.1968210451958,128.20988411123946,135.9247547718751,22.214285714285715
145,97.11506856484984,128.749221043806,135.36056187643484,22.214285714285715
146,97.01803306034071,129.32932164196484,134.88791103516851,22.071428571428573
147,96.85406392658794,129.89075031114723,134.49238481837764,22.071428571428573
148,96.71038344415066,130.4252030205209,134.06537019850293,22.0
149,96.54555344595757,130.9414120257936,133.71300230098933,21.928571428571427
150,96.42215057811225,131.50406892464449,133.35662050477208,21.928571428571427
151,96.34896259527531,132.07440139175267,133.0253437860468,21.857142857142858
152,96.28124031329712,132.62272064064996,132.71186709513404,21.785714285714285
153,96.26764843052351,133.17628327925934,132.57653731310302,21.714285714285715
154,96.20753612713092,133.682130062417,132.44028013095516,21.714285714285715
155,96.18462105093495,134.16483945823205,132.2940987269515,21.642857142857142
156,96.19678036698605,134.6163660105393,132.221033094079,21.642857142857142
157,96.30693727450871,135.04272851771708,132.13882243203636,21.642857142857142
158,96.43003206009826,135.4718193029673,132.06937747517262,21.642857142857142
159,96.581307700378,135.84172676161663,132.05363658464776,21.642857142857142
160,96.72175000811278,136.25502304939886,132.07582639043613,21.571428571428573
161,96.77701309049304,136.6117498220622,132.0411559422726,21.571428571428573
162,96.86603278032328,136.95590040585753,132.01670865350684,21.571428571428573
163,96.97626473756638,137.26107117392834,132.07756357072984,21.5
164,97.057862703782,137.57429212818866,132.09017223909868,21.5
165,97.17067788501606,137.86104954195002,132.06608001749768,21.5
166,97.28613872656305,138.09613175450409,132.03757436779887,21.5
167,97.55461270401848,138.24258087788868,132.0314798890302,21.5
168,97.75507807535217,138.4259144161897,131.99006757942553,21.428571428571427
169,97.95037100733975,138.64672015377232,131.99974174065818,21.428571428571427
170,98.20162075861931,138.866371765402,131.9964114881474,21.428571428571427
171,98.36922948847845,139.037569322439,132.04336644034103,21.428571428571427
172,98.52777769893679,139.20020017462227,132.0985175788106,21.428571428571427
173,98.63440758493374,139.32577160098634,132.18391438528732,21.428571428571427
174,98.77810982548321,139.47700782439608,132.2647246447733,21.428571428571427
175,98.95289810170777,139.59889519242444,132.1926456949901,21.428571428571427
176,99.07678217070182,139.7048313415098,132.12165591215813,21.428571428571427
177,99.11988771868086,139.85308542644793,132.10262722898457,21.428571428571427
178,99.14910468859011,140.0002661963341,132.07445851279198,21.357142857142858
179,99.16446173199282,140.1472163744197,132.03602649126464,21.357142857142858
180,99.1659875004449,140.294778683946,131.98620789207698,21.285714285714285
181,99.15371064550226,140.4437958481541,131.92387944290357,21.285714285714285
182,99.12765981872082,140.5951105902853,131.84791787141884,21.285714285714285
183,99.08786367165652,140.74956563358066,131.75719990529737,21.285714285714285
184,99.03435085586528,140.90800370128147,131.65060227221358,21.285714285714285
185,98.96715002290303,141.0712675166289,131.52700169984203,21.285714285714285
186,98.88628982432567,141.2401998028641,131.3852749158572,21.285714285714285
187,98.79179891168914,141.41564328322835,131.22429864793358,21.285714285714285
188,98.68370593654937,141.59844068096277,131.04294962374567,21.285714285714285
189,98.56203955046226,141.78943471930856,130.84010457096798,21.214285714285715
190,98.42682840498375,141.98946812150692,130.614640217275,21.214285714285715
191,98.27810115166976,142.19938361079906,130.36543329034126,21.214285714285715
192,98.1158864420762,142.42002391042615,130.09136051784122,21.214285714285715
193,97.94021292775902,142.65223174362941,129.79129862744944,21.142857142857142
194,97.75110926027412,142.89684983365,129.46412434684032,21.142857142857142
195,97.54860409117742,143.15472090372913,129.10871440368845,21.142857142857142
196,97.33272607202487,143.42668767710802,128.7239455256683,21.071428571428573
197,97.10350385437236,143.7135928770278,128.3086944404544,21.071428571428573
198,96.86096608977584,144.0162792267297,127.86183787572118,21.0
199,96.60514142979123,144.3355894494549,127.3822525591432,21.0
200,96.33605852597444,144.6723662684446,126.86881521839493,21.0
