,R,G,B,T
0,117.26023742830466,111.55906168735301,178.0641560327836,24.0
1,117.20766899352336,111.5095997943337,177.6604404724854,24.0
2,117.16614246959621,111.46305131618026,177.30135885717576,24.0
3,117.13484129733028,111.41916085129681,176.98509615447244,24.0
4,117.11294891753258,111.37767299808753,176.70983733199324,24.0
5,117.09964877101014,111.33833235495656,176.4737673573559,24.0
6,117.09412429857,111.30088352030808,176.2750711981782,24.0
7,117.09555894101915,111.26507109254622,176.11193382207793,24.0
8,117.10313613916466,111.23063967007515,175.98254019667286,24.0
9,117.11603933381353,111.197333851299,175.88507528958075,24.0
10,117.13345196577282,111.16489823462196,175.81772406841938,24.0
11,117.15455747584953,111.13307741844817,175.77867150080652,24.0
12,117.1785393048507,111.10161600118177,175.76610255435995,24.0
13,117.20458089358335,111.07025858122692,175.77820219669744,24.0
14,117.23186568285453,111.0387497569878,175.81315539543675,24.0
15,117.25957711347124,111.00683412686854,175.86914711819568,24.0
16,117.28689862624053,110.9742562892733,175.94436233259196,24.0
17,117.3130136619694,110.94076084260624,176.03698600624344,24.0
18,117.33710566146493,110.9060923852715,176.1452031067678,24.0
19,117.35835806553409,110.86999551567325,176.26719860178287,24.0
20,117.37595431498394,110.83221483221564,176.40115745890643,24.0
21,117.38907785062152,110.79249493330283,176.54526464575622,24.0
22,117.39691211325382,110.75058041733897,176.69770512995,24.0
23,117.3986405436879,110.70621588272822,176.8566638791056,24.0
24,117.39344658272216,110.65914592786656,177.02032586082774,24.0
25,117.3583479096832,110.58382533469627,177.15365925722807,24.0
26,117.29406845479646,110.50312134309175,177.2744338081832,24.0
27,117.22448033586092,110.45553319829875,177.37778515660276,24.0
28,117.13018698416249,110.37514611832887,177.53231915302243,24.0
29,117.04224353255017,110.30945333215217,177.6135661514278,24.0
30,116.96662021781847,110.20514273478479,177.67921069135565,24.0
31,116.90654670062594,110.13092896732351,177.7830293661857,24.0
32,116.82636900306937,110.04206221494881,177.93189174801788,24.0
33,116.74098291798128,109.97604400309355,178.09751733631464,24.0
34,116.61934119588663,109.89336696064535,178.2492694477187,24.0
35,116.43668783509395,109.78850736511289,178.34577487416036,24.0
36,116.21544977328136,109.68832954772907,178.3589729035691,24.0
37,115.97571700073976,109.5543607513847,178.41178961733107,24.0
38,115.80204154158844,109.35601632299083,178.50812160954482,24.0
